-XkvqskkAOo	ZAYN - Pillowtalk	Nicki Minaj - Superbass
LZy0r9LrQ3k	Destiny's Child - Say My Name	Tove Styrke - Say My Name
LdOH4eCZOXg	Nicki Minaj - Starships	Iggy Azalea ft. Charli XCX - Fancy
MEex_2wBx-w	Miley Cyrus ft. Dua Lipa - Prisoner	Madonna - Like a Virgin
MRVOuqH5yH0	P!nk - Get the Party Started	Lizzo ft. Cardi B - Rumors
MRwmxMFmy6c	All Time Low - Monsters	Kim Petras - Castle In the Sky
MbobABd6U-I	Rihanna - We Found Love	Hilary Duff - Mature
N9JxtrzN_Ss	Britney Spears ft. Ying Yang Twin - I Got That (Boom Boom)	Tate McRae - Sports Car
NFn1QwXWxZ8	Flo Rida - GDFR	BLACKPINK - Jump
PHSn-Q5Vgfg	Aly & AJ - Potential Breakup Song	Machine Gun Kelly - Bloody Valentine
Q-D0pQNWU8M	The Chainsmokers ft. Halsey - Closer	Fifth Harmony ft. Ty Dolla $ign - Work From Home	Maroon 5 - Don't Wanna Know	Adele - Hello	Troye Sivan - YOUTH	Sia - Cheap Thrills	Major Lazer ft. Justin Bieber - Cold Water	Ariana Grande - Into You	P!nk - Just Like Fire	Twenty One Pilots - Heathens	Ariana Grande ft. Nicki Minaj - Side to Side	Bruno Mars - 24K Magic	Beyonce - Formation	DNCE - Cake By the Ocean	Fifth Harmony ft. Fetty Wap - All In My Head (Flex)	Selena Gomez - Hands to Myself	Meghan Trainor - NO	Sia ft. Kendrick Lamar - The Greatest	The Chainsmokers ft. ROZES - Roses	Adele - Send My Love (To Your New Lover)	Charlie Puth ft. Selena Gomez - We Don't Talk Anymore	Justin Bieber - Sorry	DJ Snake ft. Justin Bieber - Let Me Love You	Alessia Cara - Wild Things	Daya - Sit Still, Look Pretty	Zayn - PILLOWTALK	Calvin Harris ft. Rihanna - This Is What You Came For	Britney Spears ft. G-Eazy - Make Me...	Rihanna - Needed Me	Lukas Graham - 7 Years	Justin Timberlake - Can't Stop the Feeling	Drake - One Dance	Twenty One Pilots - Stressed Out	Rihanna ft. Drake - Work	The Weeknd ft. Daft Punk - Starboy
QTV4plW6wgA	Destiny's Child - Bills Bills Bills	Tate McRae - Just Keep Watching
QYoBYNz-UzA	Avril Lavigne - What the Hell	Olivia Rodrigo - good 4 u
R9LghI30WIM	Jason Derulo ft. Nicki Minaj & Ty Dolla $ign - Swalla	Rihanna ft. Drake - Work
RvhWhs_ERIw	Taylor Swift - Out of the Woods	Doja Cat - Gorgeous
TYrRXBaSI08	Justin Bieber - Yummy	Ariana Grande - 7 Rings
TapL6kA35hI	Rihanna - Talk That Talk	Britney Spears - Liar
TcFoMHpzf1g	Green Day - Boulevard of Broken Dreams	Demi Lovato - Heart Attack
UFXBacjJhFM	Timbaland ft. Nelly Furtado & Justin Timberlake - Give It to Me	Ariana Grande ft. Nicki Minaj - The Light is Coming
UmNnE2YkW3k	Twenty One Pilots - Ride	Madonna ft. Nicki Minaj - Bitch I'm Madonna
VEnXuESkhtA	Demi Lovato - Confident	Britney Spears - Radar
VZ7BSsyXDiA	Dua Lipa - Physical	Jennifer Lopez ft. Iggy Azalea - Booty	Madonna - Girl Gone Wild	Miley Cyrus - See You Again	Lady Gaga - Marry the Night
